Environment,Seed,Noise_Type,Attack_Type,Highest_Score,Best_Epoch,Original_Log_Path
halfcheetah-medium-replay-v2,0,Random,rew,39.125,60,Full_Scale_Experiments/seed_0_random_rew/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_rew_0_20260428160049_f63cee68-43c0-4c37-9e83-d840043c5970
halfcheetah-medium-replay-v2,1,Random,rew,37.6321,70,Full_Scale_Experiments/seed_1_random_rew/halfcheetah-medium-replay-v2/WT_RDT_halfcheetah-medium-replay-v2_rnd_rew_1_20260428160050_310e6fb4-b59b-4131-93fe-aa2f39aa3f40
hammer-expert-v0,0,Adversarial,act,124.3307,50,Full_Scale_Experiments/seed_0_adversarial_act/hammer-expert-v0/WT_RDT_hammer-expert-v0_adv_act_0_20260428235936_16e4b556-d86e-428a-9fd3-d80e9c0c5f3a
hammer-expert-v0,1,Adversarial,act,124.153,90,Full_Scale_Experiments/seed_1_adversarial_act/hammer-expert-v0/WT_RDT_hammer-expert-v0_adv_act_1_20260428235937_85c4a7c5-dca9-4122-82aa-4bdb1d1a56a8
hammer-expert-v0,0,Adversarial,obs,126.7546,100,Full_Scale_Experiments/seed_0_adversarial_obs/hammer-expert-v0/WT_RDT_hammer-expert-v0_adv_obs_0_20260428232927_75e43f6b-4623-47ae-b1cf-a4af5a3f0e6e
hammer-expert-v0,1,Adversarial,obs,127.7616,80,Full_Scale_Experiments/seed_1_adversarial_obs/hammer-expert-v0/WT_RDT_hammer-expert-v0_adv_obs_1_20260428232928_b50d3436-1a06-4772-b816-98f18f2db409
hammer-expert-v0,0,Adversarial,rew,128.059,70,Full_Scale_Experiments/seed_0_adversarial_rew/hammer-expert-v0/WT_RDT_hammer-expert-v0_adv_rew_0_20260429003105_37d8e7f7-1743-424a-91ab-8e1152411406
hammer-expert-v0,1,Adversarial,rew,128.1065,70,Full_Scale_Experiments/seed_1_adversarial_rew/hammer-expert-v0/WT_RDT_hammer-expert-v0_adv_rew_1_20260429003106_66bdebb2-4545-4fba-944d-1c0f28a8e2d2
hammer-expert-v0,0,Random,act,125.741,100,Full_Scale_Experiments/seed_0_random_act/hammer-expert-v0/WT_RDT_hammer-expert-v0_rnd_act_0_20260428221941_4184c541-9555-457f-9b6f-cb14442cccc0
hammer-expert-v0,1,Random,act,100.0089,40,Full_Scale_Experiments/seed_1_random_act/hammer-expert-v0/WT_RDT_hammer-expert-v0_rnd_act_1_20260428221942_fac3dcfd-eaeb-45cc-a307-113942cc3146
hammer-expert-v0,0,Random,obs,126.238,100,Full_Scale_Experiments/seed_0_random_obs/hammer-expert-v0/WT_RDT_hammer-expert-v0_rnd_obs_0_20260428214937_f3672d77-377e-4511-b2c6-02febe6a8cb0
hammer-expert-v0,1,Random,obs,126.6175,70,Full_Scale_Experiments/seed_1_random_obs/hammer-expert-v0/WT_RDT_hammer-expert-v0_rnd_obs_1_20260428214938_befcb08f-6d5b-4750-b8db-7b3db061a4f8
